Girls Under Glass - We Feel Alright,7232400,8555400,164,194
Hollow Ground - Ill Fate,2866500,4189500,65,95
James Elder & Mark M Thompson - The English Actor,6482700,7805700,147,177
Juliet's Rescue - Heartbeats,4674600,5997600,106,136
Little Chicago's Finest - My Own,10584000,11907000,240,270
Louis Cressy Band - Good Time,8246700,9569700,187,217
Lyndsey Ollard - Catching Up,5865300,7188300,133,163
M.E.R.C. Music - Knockout,9305100,10628100,211,241
Moosmusic - Big Dummy Shake,1278900,2601900,29,59
Motor Tapes - Shore,7982100,9305100,181,211
Mu - Too Bright,837900,2160900,19,49
Nerve 9 - Pray For The Rain,5247900,6570900,119,149
PR - Happy Daze,4189500,5512500,95,125
PR - Oh No,970200,2293200,22,52
Punkdisco - Oral Hygiene,5292000,6615000,120,150
Raft Monk - Tiring,6438600,7761600,146,176
Sambasevam Shanmugam - Kaathaadi,4983300,6306300,113,143
Secretariat - Borderline,5027400,6350400,114,144
Secretariat - Over The Top,3969000,5292000,90,120
Side Effects Project - Sing With Me,5115600,6438600,116,146
Signe Jakobsen - What Have You Done To Me,1984500,3307500,45,75
Skelpolu - Resurrection,13141800,14464800,298,328
Speak Softly - Broken Man,1675800,2998800,38,68
Speak Softly - Like Horses,11466000,12789000,260,290
The Doppler Shift - Atrophy,3439800,4762800,78,108
The Easton Ellises (Baumi) - SDRNR,8555400,9878400,194,224
The Easton Ellises - Falcon 69,4498200,5821200,102,132
The Long Wait - Dark Horses,1984500,3307500,45,75
The Mountaineering Club - Mallory,8202600,9525600,186,216
The Sunshine Garcia Band - For I Am The Moon,1940400,3263400,44,74
Timboz - Pony,2337300,3660300,53,83
Tom McKenzie - Directions,3660300,4983300,83,113
Triviul feat. The Fiend - Widow,8114400,9437400,184,214
We Fell From The Sky - Not You,1278900,2601900,29,59
Zeno - Signs,2690100,4013100,61,91
